
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1A       , Stairs A                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          9.69
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1A       , Stairs A                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          9.69
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1A       , Stairs A                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          9.69
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1A       , Stairs A                               ,            50.800  ,   Stair Metal                    ,         61.54
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1B       , Stairs B                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          7.27
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1B       , Stairs B                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          7.27
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1B       , Stairs B                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          7.27
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1B       , Stairs B                               ,            50.800  ,   Stair Metal                    ,         46.15
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1C       , Stairs C                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         12.12
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1C       , Stairs C                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         12.12
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1C       , Stairs C                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         12.12
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1C       , Stairs C                               ,            50.800  ,   Stair Metal                    ,         76.92
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1D       , Stairs D                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          2.42
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1D       , Stairs D                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          2.42
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1D       , Stairs D                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          2.42
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1D       , Stairs D                               ,            50.800  ,   Stair Metal                    ,         15.38
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1E       , Stairs E                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          2.42
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1E       , Stairs E                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          2.42
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1E       , Stairs E                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          2.42
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1E       , Stairs E                               ,            50.800  ,   Stair Metal                    ,         15.38
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1F       , Stairs F                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          4.85
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1F       , Stairs F                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          4.85
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1F       , Stairs F                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          4.85
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   ST1F       , Stairs F                               ,            50.800  ,   Stair Metal                    ,         30.77
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   STAT       , Stairs - Atrium                        ,            20.110  ,   Walls/DW Ceiling - Prime       ,          9.69
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   STAT       , Stairs - Atrium                        ,            21.120  ,   Walls - 2nd Coat Finish        ,          9.69
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   STAT       , Stairs - Atrium                        ,            21.130  ,   Walls - 3rd Coat Finish        ,          9.69
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   STAT       , Stairs - Atrium                        ,            50.800  ,   Stair Metal                    ,         61.54
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   STGR       , Stairs - Grand Stairs                  ,            20.110  ,   Walls/DW Ceiling - Prime       ,          4.85
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   STGR       , Stairs - Grand Stairs                  ,            21.120  ,   Walls - 2nd Coat Finish        ,          4.85
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   STGR       , Stairs - Grand Stairs                  ,            21.130  ,   Walls - 3rd Coat Finish        ,          4.85
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   STGR       , Stairs - Grand Stairs                  ,            50.800  ,   Stair Metal                    ,         30.77
