NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 07     , East Floor 07                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         41.12
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 07     , East Floor 07                          ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         13.39
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 07     , East Floor 07                          ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         67.05
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 07     , East Floor 07                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 07     , East Floor 07                          ,            34.110  ,   Trim - 1st Coat Prime          ,          6.67
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 07     , East Floor 07                          ,            50.500  ,   AESS Steel                     ,           .24
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 07     , East Floor 07                          ,            50.800  ,   Stair Metal                    ,           .16
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 07     , East Floor 07                          ,            60.200  ,   Sizing                         ,          4.57
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 08     , East Floor 08                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         37.22
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 08     , East Floor 08                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         37.79
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 08     , East Floor 08                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         33.08
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 08     , East Floor 08                          ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         10.19
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 08     , East Floor 08                          ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         64.73
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 08     , East Floor 08                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 08     , East Floor 08                          ,            34.110  ,   Trim - 1st Coat Prime          ,          6.67
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 08     , East Floor 08                          ,            50.500  ,   AESS Steel                     ,           .24
