NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   MI01       , Miscellaneous                          ,            29.500  ,   Interior Windows               ,         67.25
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   MI01       , Miscellaneous                          ,            30.110  ,   Special Coating - Primer       ,         16.96
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   MI01       , Miscellaneous                          ,            34.110  ,   Trim - 1st Coat Prime          ,         18.25
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   MI01       , Miscellaneous                          ,            80.110  ,   Touch Up Allowance             ,         40.00
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   ST01       , STAIRS                                 ,            21.120  ,   Walls - 2nd Coat Finish        ,         15.88
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   ST01       , STAIRS                                 ,            21.130  ,   Walls - 3rd Coat Finish        ,         15.88
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   ST01       , STAIRS                                 ,            24.110  ,   CMU Walls - Blockfiller        ,         69.49
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   ST01       , STAIRS                                 ,            50.800  ,   Stair Metal                    ,         60.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   CMIS       , Commercial Misc                        ,            26.130  ,   Floor Epoxy                    ,         24.36
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   CMIS       , Commercial Misc                        ,            40.200  ,   Cornice/Rake Boards/Soffits    ,         65.62
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   CMIS       , Commercial Misc                        ,            40.500  ,   Elastomeric Coating            ,          4.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   CMIS       , Commercial Misc                        ,            50.700  ,   Windows                        ,        165.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   CMIS       , Commercial Misc                        ,            50.800  ,   Stair Metal                    ,         72.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COF1       , Commercial Floor 1                     ,            20.110  ,   Walls/DW Ceiling - Prime       ,         11.70
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COF1       , Commercial Floor 1                     ,            21.120  ,   Walls - 2nd Coat Finish        ,          9.24
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COF1       , Commercial Floor 1                     ,            21.130  ,   Walls - 3rd Coat Finish        ,         11.55
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COF1       , Commercial Floor 1                     ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          8.20
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COF1       , Commercial Floor 1                     ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          9.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COF2       , Commercial Floor 2                     ,            20.110  ,   Walls/DW Ceiling - Prime       ,         11.20
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COF2       , Commercial Floor 2                     ,            21.120  ,   Walls - 2nd Coat Finish        ,          7.25
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COF2       , Commercial Floor 2                     ,            21.130  ,   Walls - 3rd Coat Finish        ,          9.07
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COF2       , Commercial Floor 2                     ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         13.17
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COF2       , Commercial Floor 2                     ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          5.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COF3       , Commercial Floor 3                     ,            20.110  ,   Walls/DW Ceiling - Prime       ,          6.56
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COF3       , Commercial Floor 3                     ,            21.120  ,   Walls - 2nd Coat Finish        ,          5.33
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COF3       , Commercial Floor 3                     ,            21.130  ,   Walls - 3rd Coat Finish        ,          6.66
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COF3       , Commercial Floor 3                     ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          4.09
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COF3       , Commercial Floor 3                     ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         10.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COT1       , Commercial Terrace                     ,            20.110  ,   Walls/DW Ceiling - Prime       ,         15.92
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COT1       , Commercial Terrace                     ,            21.120  ,   Walls - 2nd Coat Finish        ,         12.53

