
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL4B       , Floor 04 B                             ,            34.130  ,   Trim - 3rd Coat Finish         ,         16.80

NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   GROA       , GROUND A                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         56.11
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   GROA       , GROUND A                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         51.44
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   GROA       , GROUND A                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         51.44
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   GROA       , GROUND A                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         52.89
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   GROA       , GROUND A                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         75.00
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   GROA       , GROUND A                               ,            34.130  ,   Trim - 3rd Coat Finish         ,         13.44
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   GROB       , GROUND B                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         10.06
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   GROB       , GROUND B                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          9.96
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   GROB       , GROUND B                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          9.96
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   GROB       , GROUND B                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          7.03
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   GROB       , GROUND B                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         12.00
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   GROB       , GROUND B                               ,            34.130  ,   Trim - 3rd Coat Finish         ,          1.68
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   ST01       , STAIRS                                 ,            24.110  ,   CMU Walls - Blockfiller        ,         64.48
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   ST01       , STAIRS                                 ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         12.90
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   ST01       , STAIRS                                 ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         12.90
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   ST01       , STAIRS                                 ,            50.800  ,   Stair Metal                    ,         43.33
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   WC01       , WALLCOVER                              ,            60.200  ,   Sizing                         ,          4.94
