NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZC       , Floor 3 Zone C                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         18.52
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZC       , Floor 3 Zone C                         ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         11.62
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZC       , Floor 3 Zone C                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         10.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,         12.65
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            21.120  ,   Walls - 2nd Coat Finish        ,          8.53
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            21.130  ,   Walls - 3rd Coat Finish        ,         14.93
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          6.46
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         17.74
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            24.110  ,   CMU Walls - Blockfiller        ,        164.62
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         47.03
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         82.31
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            26.110  ,   Floor Sealer                   ,          6.23
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         37.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01C      , Gound Zone C                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,          8.23
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01C      , Gound Zone C                           ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         19.74
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01C      , Gound Zone C                           ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         17.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01C      , Gound Zone C                           ,            24.110  ,   CMU Walls - Blockfiller        ,        144.84
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01C      , Gound Zone C                           ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         41.38
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01C      , Gound Zone C                           ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         72.42
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01C      , Gound Zone C                           ,            26.110  ,   Floor Sealer                   ,          6.75
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01C      , Gound Zone C                           ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         37.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST01       , Stair 0A1                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,          4.33
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST01       , Stair 0A1                              ,            21.120  ,   Walls - 2nd Coat Finish        ,          3.71
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST01       , Stair 0A1                              ,            21.130  ,   Walls - 3rd Coat Finish        ,          6.50
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST01       , Stair 0A1                              ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          7.33
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST01       , Stair 0A1                              ,            50.800  ,   Stair Metal                    ,         32.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST02       , Stair 0A2                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,          4.33
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST02       , Stair 0A2                              ,            21.120  ,   Walls - 2nd Coat Finish        ,          3.71
