
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL08       , Floor 08                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.48
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL08       , Floor 08                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          7.87
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL08       , Floor 08                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.80
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL08       , Floor 08                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          8.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL08       , Floor 08                               ,            30.120  ,   Special Coating - Interm Coat  ,          4.80
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL08       , Floor 08                               ,            30.130  ,   Special Coating - Finish Coat  ,          4.80
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL08       , Floor 08                               ,            60.200  ,   Sizing                         ,          7.68
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL09       , Floor 09                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          5.30
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL09       , Floor 09                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.50
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL09       , Floor 09                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.50
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL09       , Floor 09                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          7.78
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL09       , Floor 09                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.80
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL09       , Floor 09                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          8.00
