
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL08       , Floor 08                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        190.90
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL08       , Floor 08                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        265.33
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL08       , Floor 08                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         29.31
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL08       , Floor 08                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         96.86
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL08       , Floor 08                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        420.00

NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL08       , Floor 08                               ,            50.900  ,   Elevator Door & Frame          ,          6.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL08       , Floor 08                               ,            80.800  ,   Contingency - Original         ,        133.70
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL09       , Floor 09                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        190.90
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL09       , Floor 09                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        265.33
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL09       , Floor 09                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         29.31
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL09       , Floor 09                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         96.86
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL09       , Floor 09                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        420.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL09       , Floor 09                               ,            50.900  ,   Elevator Door & Frame          ,          6.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL09       , Floor 09                               ,            80.800  ,   Contingency - Original         ,        133.70
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL10       , Floor 10                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        190.90
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL10       , Floor 10                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        265.33
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL10       , Floor 10                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         29.31
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL10       , Floor 10                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         96.86
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL10       , Floor 10                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        420.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL10       , Floor 10                               ,            50.900  ,   Elevator Door & Frame          ,          6.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL10       , Floor 10                               ,            80.800  ,   Contingency - Original         ,        133.70
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL11       , Floor 11                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        190.90
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL11       , Floor 11                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        265.33
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL11       , Floor 11                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         29.31
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL11       , Floor 11                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         96.86
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL11       , Floor 11                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        420.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL11       , Floor 11                               ,            50.900  ,   Elevator Door & Frame          ,          6.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL11       , Floor 11                               ,            80.800  ,   Contingency - Original         ,        133.70
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL12       , Floor 12                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        190.90
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL12       , Floor 12                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        265.33
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL12       , Floor 12                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         29.31
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL12       , Floor 12                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         96.86
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL12       , Floor 12                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        420.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL12       , Floor 12                               ,            50.900  ,   Elevator Door & Frame          ,          6.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL12       , Floor 12                               ,            80.800  ,   Contingency - Original         ,        133.70
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   ST01       , STAIR TOWER 01                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         52.39
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   ST01       , STAIR TOWER 01                         ,            21.140  ,   Walls - 4th Coat Finish        ,         52.39
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   ST01       , STAIR TOWER 01                         ,            26.120  ,   Floor Paint - 1st & 2nd Coat   ,         52.52
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   ST01       , STAIR TOWER 01                         ,            50.800  ,   Stair Metal                    ,        376.00
