
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL02B      , FLOOR B                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         96.06
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL02B      , FLOOR B                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,        362.62
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL02B      , FLOOR B                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         32.00
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL02C      , FLOOR C                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         39.10
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL02C      , FLOOR C                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         13.70
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL02C      , FLOOR C                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         13.70
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL02C      , FLOOR C                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         89.22
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL02C      , FLOOR C                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         10.00
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL03A      , FLOOR 3 A                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,         62.08
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL03A      , FLOOR 3 A                              ,            21.120  ,   Walls - 2nd Coat Finish        ,         44.26

NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL03A      , FLOOR 3 A                              ,            21.130  ,   Walls - 3rd Coat Finish        ,         44.26
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL03A      , FLOOR 3 A                              ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         74.16
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL03A      , FLOOR 3 A                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         30.00
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL03B      , FLOOR B                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,        195.24
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL03B      , FLOOR B                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         96.06
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL03B      , FLOOR B                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         96.06
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL03B      , FLOOR B                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,        362.62
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL03B      , FLOOR B                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         32.00
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL04A      , FLOOR A                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         62.08
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL04A      , FLOOR A                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         44.26
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL04A      , FLOOR A                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         44.26
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL04A      , FLOOR A                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         74.16
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL04A      , FLOOR A                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         30.00
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL05A      , FLOOR A                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         62.08
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL05A      , FLOOR A                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         44.26
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL05A      , FLOOR A                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         44.26
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL05A      , FLOOR A                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         74.16
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL05A      , FLOOR A                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         30.00
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   MI01       , MIS                                    ,            26.110  ,   Floor Sealer                   ,        341.70
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   MI01       , MIS                                    ,            50.700  ,   Windows                        ,        161.60
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   MI01       , MIS                                    ,            50.900  ,   Elevator Door & Frame          ,         96.00
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   MI01       , MIS                                    ,            80.810  ,   Contingency - Allocated        ,         16.54
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   ST01       , STAIRS                                 ,            24.110  ,   CMU Walls - Blockfiller        ,        257.18
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   ST01       , STAIRS                                 ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         96.44
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   ST01       , STAIRS                                 ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         96.44
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   ST01       , STAIRS                                 ,            50.800  ,   Stair Metal                    ,        191.66
