
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr07      , 7th Floor                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,        180.86
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr07      , 7th Floor                              ,            21.120  ,   Walls - 2nd Coat Finish        ,        161.14
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr07      , 7th Floor                              ,            21.130  ,   Walls - 3rd Coat Finish        ,        149.63
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr07      , 7th Floor                              ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,        154.49
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr07      , 7th Floor                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        183.45
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr07      , 7th Floor                              ,            29.600  ,   Interior Windows - Caulking    ,         50.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr07      , 7th Floor                              ,            34.110  ,   Trim - 1st Coat Prime          ,         66.34
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr07      , 7th Floor                              ,            50.800  ,   Stair Metal                    ,         20.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   P1         , Garage Lvl 1                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,         80.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   P1         , Garage Lvl 1                           ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          7.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   P1         , Garage Lvl 1                           ,            24.110  ,   CMU Walls - Blockfiller        ,         35.66
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   P1         , Garage Lvl 1                           ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         29.32
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   P1         , Garage Lvl 1                           ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         23.99
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   P1         , Garage Lvl 1                           ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         24.11
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   P1         , Garage Lvl 1                           ,            50.800  ,   Stair Metal                    ,         20.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   PH         , Penthouse                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,        123.54
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   PH         , Penthouse                              ,            21.120  ,   Walls - 2nd Coat Finish        ,        109.93
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   PH         , Penthouse                              ,            21.130  ,   Walls - 3rd Coat Finish        ,        102.07
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   PH         , Penthouse                              ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,        106.02
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   PH         , Penthouse                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        117.41
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   PH         , Penthouse                              ,            29.600  ,   Interior Windows - Caulking    ,         40.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   PH         , Penthouse                              ,            34.110  ,   Trim - 1st Coat Prime          ,         36.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   PH         , Penthouse                              ,            50.800  ,   Stair Metal                    ,         20.00
