
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2234      , Building 2234                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         10.14
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2234      , Building 2234                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         10.14
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2234      , Building 2234                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         10.14
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2234      , Building 2234                          ,            50.800  ,   Stair Metal                    ,         20.00
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2235      , Building 2235                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,          8.15

NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2235      , Building 2235                          ,            21.120  ,   Walls - 2nd Coat Finish        ,          8.15
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2235      , Building 2235                          ,            21.130  ,   Walls - 3rd Coat Finish        ,          8.15
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2235      , Building 2235                          ,            50.800  ,   Stair Metal                    ,         13.33
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2239      , Building 2239                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,          8.15
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2239      , Building 2239                          ,            21.120  ,   Walls - 2nd Coat Finish        ,          8.15
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2239      , Building 2239                          ,            21.130  ,   Walls - 3rd Coat Finish        ,          8.15
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2239      , Building 2239                          ,            50.800  ,   Stair Metal                    ,         13.33
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2240      , Building  2240                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,         18.63
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2240      , Building  2240                         ,            21.120  ,   Walls - 2nd Coat Finish        ,         16.04
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2240      , Building  2240                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         16.04
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2240      , Building  2240                         ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          6.91
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2240      , Building  2240                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          6.00
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2240      , Building  2240                         ,            40.300  ,   Steel Railings                 ,         16.93
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2240      , Building  2240                         ,            50.800  ,   Stair Metal                    ,         20.00
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2244      , Building 2244                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,          7.92
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2244      , Building 2244                          ,            21.120  ,   Walls - 2nd Coat Finish        ,          7.92
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2244      , Building 2244                          ,            21.130  ,   Walls - 3rd Coat Finish        ,          7.92
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2244      , Building 2244                          ,            50.800  ,   Stair Metal                    ,         20.00
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2245      , Building 2245                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,          9.34
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2245      , Building 2245                          ,            21.120  ,   Walls - 2nd Coat Finish        ,          9.34
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2245      , Building 2245                          ,            21.130  ,   Walls - 3rd Coat Finish        ,          9.34
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2245      , Building 2245                          ,            40.300  ,   Steel Railings                 ,         16.93
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2245      , Building 2245                          ,            50.800  ,   Stair Metal                    ,         20.00
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2249      , Building 2249                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         31.04
