
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2C         , LVL 2 Area C                           ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          3.99
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2C         , LVL 2 Area C                           ,            24.110  ,   CMU Walls - Blockfiller        ,          8.10
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2C         , LVL 2 Area C                           ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,          4.76
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2C         , LVL 2 Area C                           ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,          7.50
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2C         , LVL 2 Area C                           ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          8.94
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2C         , LVL 2 Area C                           ,            50.800  ,   Stair Metal                    ,        112.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3A         , LVL 3 Area A                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,        111.64
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3A         , LVL 3 Area A                           ,            21.120  ,   Walls - 2nd Coat Finish        ,         60.16
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3A         , LVL 3 Area A                           ,            21.130  ,   Walls - 3rd Coat Finish        ,         61.78
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3A         , LVL 3 Area A                           ,            21.140  ,   Walls - 4th Coat Finish        ,         36.09
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3A         , LVL 3 Area A                           ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,        114.36
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3A         , LVL 3 Area A                           ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         23.86
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3A         , LVL 3 Area A                           ,            24.110  ,   CMU Walls - Blockfiller        ,         20.22
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3A         , LVL 3 Area A                           ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         11.89
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3A         , LVL 3 Area A                           ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         18.72
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3A         , LVL 3 Area A                           ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         16.09
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3A         , LVL 3 Area A                           ,            50.800  ,   Stair Metal                    ,         96.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3B         , LVL 3 Area B                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,        191.72
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3B         , LVL 3 Area B                           ,            21.120  ,   Walls - 2nd Coat Finish        ,        148.09
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3B         , LVL 3 Area B                           ,            21.130  ,   Walls - 3rd Coat Finish        ,        152.09
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3B         , LVL 3 Area B                           ,            21.140  ,   Walls - 4th Coat Finish        ,         88.85
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3B         , LVL 3 Area B                           ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         45.12
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3B         , LVL 3 Area B                           ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          2.04
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3B         , LVL 3 Area B                           ,            24.110  ,   CMU Walls - Blockfiller        ,         17.53
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3B         , LVL 3 Area B                           ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         10.31
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3B         , LVL 3 Area B                           ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         16.23
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3B         , LVL 3 Area B                           ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         13.41
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3B         , LVL 3 Area B                           ,            50.800  ,   Stair Metal                    ,         32.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3C         , LVL 3 Area C                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,         82.96
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3C         , LVL 3 Area C                           ,            21.120  ,   Walls - 2nd Coat Finish        ,         65.83
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3C         , LVL 3 Area C                           ,            21.130  ,   Walls - 3rd Coat Finish        ,         67.61
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3C         , LVL 3 Area C                           ,            21.140  ,   Walls - 4th Coat Finish        ,         39.50
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3C         , LVL 3 Area C                           ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         13.60
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3C         , LVL 3 Area C                           ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         23.15
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3C         , LVL 3 Area C                           ,            24.110  ,   CMU Walls - Blockfiller        ,          8.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3C         , LVL 3 Area C                           ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,          4.70
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3C         , LVL 3 Area C                           ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,          7.40
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3C         , LVL 3 Area C                           ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         13.41
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   3C         , LVL 3 Area C                           ,            50.800  ,   Stair Metal                    ,         80.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   AU         , Auditorium                             ,            20.110  ,   Walls/DW Ceiling - Prime       ,        101.35
