
NL:      026.21.1  ,  Archbishop Spalding MS Music                       ,01, =    , 01, = ,   FL01       , FLOOR 01                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         43.95
NL:      026.21.1  ,  Archbishop Spalding MS Music                       ,01, =    , 01, = ,   FL01       , FLOOR 01                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          2.06
NL:      026.21.1  ,  Archbishop Spalding MS Music                       ,01, =    , 01, = ,   FL01       , FLOOR 01                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         59.01
NL:      026.21.1  ,  Archbishop Spalding MS Music                       ,01, =    , 01, = ,   FL01       , FLOOR 01                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         25.56
NL:      026.21.1  ,  Archbishop Spalding MS Music                       ,01, =    , 01, = ,   FL01       , FLOOR 01                               ,            80.800  ,   Contingency - Original         ,          4.00
NL:      027.21.1  ,  1550 Crystal Dr  11th Floor                        ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          2.00
NL:      027.21.1  ,  1550 Crystal Dr  11th Floor                        ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          2.00

NL:      027.21.1  ,  1550 Crystal Dr  11th Floor                        ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          2.00
NL:      027.21.1  ,  1550 Crystal Dr  11th Floor                        ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          2.00
NL:      027.21.1  ,  1550 Crystal Dr  11th Floor                        ,01, =    , 01, = ,   FL11       , 11th Flr Corridor                      ,            20.110  ,   Walls/DW Ceiling - Prime       ,         14.78
NL:      027.21.1  ,  1550 Crystal Dr  11th Floor                        ,01, =    , 01, = ,   FL11       , 11th Flr Corridor                      ,            21.120  ,   Walls - 2nd Coat Finish        ,         13.08
NL:      027.21.1  ,  1550 Crystal Dr  11th Floor                        ,01, =    , 01, = ,   FL11       , 11th Flr Corridor                      ,            21.130  ,   Walls - 3rd Coat Finish        ,         13.08
