NL: 059.20.1,,01,=,01,=,B2239,Building 2239,50.800,,13.33
NL: 059.20.1,,01,=,01,=,B2240,Building  2240,20.110,,18.63
NL: 059.20.1,,01,=,01,=,B2240,Building  2240,21.120,,16.04
NL: 059.20.1,,01,=,01,=,B2240,Building  2240,21.130,,16.04
NL: 059.20.1,,01,=,01,=,B2240,Building  2240,22.120,,6.91
NL: 059.20.1,,01,=,01,=,B2240,Building  2240,28.110,,6.00
NL: 059.20.1,,01,=,01,=,B2240,Building  2240,40.300,,16.93
NL: 059.20.1,,01,=,01,=,B2240,Building  2240,50.800,,20.00
NL: 059.20.1,,01,=,01,=,B2244,Building 2244,20.110,,7.92
NL: 059.20.1,,01,=,01,=,B2244,Building 2244,21.120,,7.92
NL: 059.20.1,,01,=,01,=,B2244,Building 2244,21.130,,7.92
NL: 059.20.1,,01,=,01,=,B2244,Building 2244,50.800,,20.00
NL: 059.20.1,,01,=,01,=,B2245,Building 2245,20.110,,9.34
NL: 059.20.1,,01,=,01,=,B2245,Building 2245,21.120,,9.34
NL: 059.20.1,,01,=,01,=,B2245,Building 2245,21.130,,9.34
NL: 059.20.1,,01,=,01,=,B2245,Building 2245,40.300,,16.93
NL: 059.20.1,,01,=,01,=,B2245,Building 2245,50.800,,20.00
NL: 059.20.1,,01,=,01,=,B2249,Building 2249,20.110,,31.04
NL: 059.20.1,,01,=,01,=,B2249,Building 2249,21.120,,24.94
NL: 059.20.1,,01,=,01,=,B2249,Building 2249,21.130,,24.94
NL: 059.20.1,,01,=,01,=,B2249,Building 2249,28.110,,105.00
NL: 059.20.1,,01,=,01,=,B2249,Building 2249,50.800,,20.00
NL: 059.20.1,,01,=,01,=,B3225,Building 3225,20.110,,9.79
NL: 059.20.1,,01,=,01,=,B3225,Building 3225,21.120,,9.79
NL: 059.20.1,,01,=,01,=,B3225,Building 3225,21.130,,9.79
NL: 059.20.1,,01,=,01,=,B3225,Building 3225,50.800,,20.00
NL: 059.20.1,,01,=,01,=,B3235,Building 3235,20.110,,9.79
NL: 059.20.1,,01,=,01,=,B3235,Building 3235,21.120,,9.79
NL: 059.20.1,,01,=,01,=,B3235,Building 3235,21.130,,9.79
NL: 059.20.1,,01,=,01,=,B3235,Building 3235,50.800,,20.00
NL: 059.20.1,,01,=,01,=,B3245,Building 3245,20.110,,5.07
NL: 059.20.1,,01,=,01,=,B3245,Building 3245,21.120,,5.07
NL: 059.20.1,,01,=,01,=,B3245,Building 3245,21.130,,5.07
NL: 059.20.1,,01,=,01,=,B3245,Building 3245,28.110,,1.50
NL: 059.20.1,,01,=,01,=,B3245,Building 3245,50.800,,20.00
NL: 059.20.1,,01,=,01,=,B3249,Building 3249,20.110,,5.07
NL: 059.20.1,,01,=,01,=,B3249,Building 3249,21.120,,5.07
NL: 059.20.1,,01,=,01,=,B3249,Building 3249,21.130,,5.07
NL: 059.20.1,,01,=,01,=,B3249,Building 3249,28.110,,1.50
NL: 059.20.1,,01,=,01,=,B3249,Building 3249,50.800,,20.00
NL: 059.20.1,,01,=,01,=,B3253,Building 3253,20.110,,5.07
NL: 059.20.1,,01,=,01,=,B3253,Building 3253,21.120,,5.07
NL: 059.20.1,,01,=,01,=,B3253,Building 3253,21.130,,5.07
NL: 059.20.1,,01,=,01,=,B3253,Building 3253,28.110,,1.50
NL: 059.20.1,,01,=,01,=,B3253,Building 3253,50.800,,20.00
NL: 059.20.1,,01,=,01,=,MISC,ONE SIDE UNIT DR,28.110,,255.00
NL: 072.20.3,,01,=,01,=,FL08,Floor08,20.110,,90.26
NL: 072.20.3,,01,=,01,=,FL08,Floor08,21.120,,52.80
NL: 072.20.3,,01,=,01,=,FL08,Floor08,21.130,,52.80
NL: 072.20.3,,01,=,01,=,FL08,Floor08,22.120,,5.90
NL: 072.20.3,,01,=,01,=,FL08,Floor08,22.125,,57.71
NL: 072.20.3,,01,=,01,=,FL08,Floor08,28.110,,62.00
NL: 072.20.3,,01,=,01,=,FL08,Floor08,34.120,,5.60
NL: 072.20.3,,01,=,01,=,FL08,Floor08,34.130,,8.40
NL: 072.20.3,,01,=,01,=,FL08,Floor08,50.900,,28.00
NL: 072.20.3,,01,=,01,=,FL08,Floor08,60.200,,8.69
NL: 072.20.3,,01,=,01,=,FL09,Floor09,20.110,,101.48
NL: 072.20.3,,01,=,01,=,FL09,Floor09,21.120,,82.23
NL: 072.20.3,,01,=,01,=,FL09,Floor09,21.130,,82.23
NL: 072.20.3,,01,=,01,=,FL09,Floor09,22.120,,5.94
NL: 072.20.3,,01,=,01,=,FL09,Floor09,22.125,,29.60
NL: 072.20.3,,01,=,01,=,FL09,Floor09,28.110,,54.00
NL: 072.20.3,,01,=,01,=,FL09,Floor09,34.120,,5.60
NL: 072.20.3,,01,=,01,=,FL09,Floor09,34.130,,8.40
NL: 072.20.3,,01,=,01,=,FL09,Floor09,50.900,,28.00
NL: 072.20.3,,01,=,01,=,FL09,Floor09,60.200,,8.58
NL: 072.20.3,,01,=,01,=,MISC,Miscellaneous,50.600,,32.00
NL: 072.20.3,,01,=,01,=,MISC,Miscellaneous,50.800,,16.00
NL: 084.20.1,,01,=,01,=,,,80.110,,40.00
NL: 084.20.1,,01,=,01,=,FL01,Floor01,20.110,,22.86
NL: 084.20.1,,01,=,01,=,FL01,Floor01,21.120,,25.71
