
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            30.130  ,   Special Coating - Finish Coat  ,         55.85
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL05       , Floor 05                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         64.50
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL05       , Floor 05                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         61.33
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL05       , Floor 05                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         92.00
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL05       , Floor 05                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         14.82

NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL05       , Floor 05                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          6.03
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL05       , Floor 05                               ,            26.110  ,   Floor Sealer                   ,          8.23
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL05       , Floor 05                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         11.00
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL05       , Floor 05                               ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         41.00
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL05       , Floor 05                               ,            30.120  ,   Special Coating - Interm Coat  ,          5.37
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL05       , Floor 05                               ,            30.130  ,   Special Coating - Finish Coat  ,         16.15
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   GYM01      , Gymnasium                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,         16.68
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   GYM01      , Gymnasium                              ,            21.120  ,   Walls - 2nd Coat Finish        ,         12.44
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   GYM01      , Gymnasium                              ,            21.130  ,   Walls - 3rd Coat Finish        ,         18.66
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   GYM01      , Gymnasium                              ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         16.96
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   GYM01      , Gymnasium                              ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        104.32
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   GYM01      , Gymnasium                              ,            24.110  ,   CMU Walls - Blockfiller        ,        323.82
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   GYM01      , Gymnasium                              ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         54.57
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   GYM01      , Gymnasium                              ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         54.57
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   GYM01      , Gymnasium                              ,            26.110  ,   Floor Sealer                   ,          6.14
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   GYM01      , Gymnasium                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         37.00
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   GYM01      , Gymnasium                              ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         19.00
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   GYM01      , Gymnasium                              ,            30.120  ,   Special Coating - Interm Coat  ,         80.06
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   GYM01      , Gymnasium                              ,            30.130  ,   Special Coating - Finish Coat  ,         80.06
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   Stairs     , Stairs                                 ,            20.110  ,   Walls/DW Ceiling - Prime       ,        145.12
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   Stairs     , Stairs                                 ,            21.120  ,   Walls - 2nd Coat Finish        ,         96.74
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   Stairs     , Stairs                                 ,            21.130  ,   Walls - 3rd Coat Finish        ,         96.74
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   Stairs     , Stairs                                 ,            50.800  ,   Stair Metal                    ,        252.00
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   TI01       , Ticket Work                            ,            95.110  ,   General Ticket Work            ,          1.00
